ATIVO,INSTITUIÇÃO, APLICADO, HOJE, RENDIMENTO, LÍQUIDIO, DATA,VENC,ANO,
"CDB - Cofrinho MP - Pós-Fixado - 120% CDI,MP,""  R$  4.990,00 "",,,,31/08/2026,,,"
"CDB - Cofrinho PICPAY - Pós-Fixado - 121% CDI,PICPAY,""  R$  4.977,50 "",,,,31/08/2026,,,"
"LCA - CNH (XP) - Pré-Fixado - 14.27%,CNH,""  R$  2.094,98 "",,,,22/05/2025,31/08/2026,2026,"
"CDB - ORIGINAL (XP) - Pré-Fixado - 17.36%,ORIGINAL,""  R$  2.723,03 "",,,,30/07/2025,09/03/2026,2026,"
"LCA - DAYCOVAL - Pré-Fixado - 13.2%,DAYCOVAL,""  R$  17.500,00 "",,,,09/09/2025,09/09/2026,2026,"
"CDB - ORIGINAL (XP) - Pré-Fixado - 17.34%,ORIGINAL,""  R$  737,38 "",,,,30/07/2025,09/09/2026,2026,"
"CDB - ORIGINAL (XP) - Pré-Fixado - 17.27%,ORIGINAL,""  R$  542,03 "",,,,15/07/2025,17/09/2026,2026,"
"CDB - C6 (XP) - Pré-Fixado - 17.25%,C6,""  R$  1.768,36 "",,,,15/07/2025,25/09/2026,2026,"
"CDB - C6 (XP) - Pré-Fixado - 17.26%,C6,""  R$  1.199,85 "",,,,30/07/2025,10/05/2026,2026,"
"LCI - BRB (XP) - Pós-Fixado - 130% CDI,BRB,""  R$  4.793,17 "",,,,24/11/2025,11/06/2026,2026,"
"CDB - PICPAY (XP) - Pré-Fixado - 15.84%,PICPAY,""  R$  25.000,00 "",,,,18/11/2024,19/11/2026,2026,"
"CDB - FACTA (XP) - Pré-Fixado - 17.1%,FACTA,""  R$  584,81 "",,,,15/07/2025,19/11/2026,2026,"
"LCA - ORIGINAL (XP) - Pré-Fixado - 14.11%,ORIGINAL,""  R$  1.062,09 "",,,,15/07/2025,30/11/2026,2026,"
"CDB - C6 (XP) - Pré-Fixado - 17.29%,C6,""  R$  559,23 "",,,,27/11/2025,25/01/2027,2027,"
"CDB - BANCO PAULISTA - Pós-Fixado - 116% CDI,EMERGENCIA PAULISTA,""  R$  30.000,00 "",,,,03/11/2025,03/11/2027,2027,"
"CDB - ORIGINAL (XP) - Pré-Fixado - 17.12%,ORIGINAL,""  R$  540,63 "",,,,24/11/2025,25/03/2027,2027,"
"CDB - PINE (XP) - Pré-Fixado - 17.1% CDI,PINE,""  R$  3.846,96 "",,,,25/11/2025,04/01/2027,2027,"
"CDB - DIGIMAIS (XP) - Pré-Fixado - 17%,DIGIMAIS,""  R$  528,67 "",,,,12/02/2025,04/02/2027,2027,"
"CDB - DIGIMAIS (XP) - Pré-Fixado - 17.08%,DIGIMAIS,""  R$  760,70 "",,,,27/11/2025,13/04/2027,2027,"
"CDB - ORIGINAL (XP) - Pré-Fixado - 17.02%,ORIGINAL,""  R$  580,21 "",,,,25/11/2025,05/10/2027,2027,"
"CDB - C6 (XP) - Pré-Fixado - 16.49%,C6,""  R$  2.084,46 "",,,,15/07/2025,19/07/2027,2027,"
"CDB - C6 (XP) - Pré-Fixado - 16.68%,C6,""  R$  1.485,21 "",,,,26/11/2025,09/06/2027,2027,"
"CDB - PICPAY (XP) - Pré-Fixado - 16.99%,PICPAY,""  R$  5.769,92 "",,,,26/11/2025,27/12/2027,2027,"
"CDB - PICPAY (XP) - Pós-Fixado - 16.99% CDI,PICPAY,""  R$  576,99 "",,,,26/11/2025,27/12/2027,2027,"
"CDB - PICPAY (XP) - Pós-Fixado - 16.02% CDI,PICPAY,""  R$  1.133,16 "",,,,12/01/2025,28/01/2028,2028,"
"CDB - PARANA - Pré-Fixado - 15.5%,PARANA,""  R$  5.000,00 "",,,,25/08/2026,25/08/2028,2028,"
"LCA - DAYCOVAL - Pré-Fixado - 12.6%,DAYCOVAL,""  R$  87.500,00 "",,,,09/11/2025,09/11/2028,2028,"
"LCA - CNH (XP) - Pós-Fixado - 100% CDI,CNH,""  R$  2.949,04 "",,,,30/05/2025,22/11/2028,2028,"
"LCA - CNH (XP) - Pós-Fixado - 100% CDI,CNH,""  R$  1.759,79 "",,,,30/05/2025,12/11/2028,2028,"
"CDB - PICPAY (XP) - Pré-Fixado - 15.94%,PICPAY,""  R$  11.981,39 "",,,,03/10/2026,15/12/2028,2028,"
"CDB - C6 (XP) - Pré-Fixado - 16.15%,C6,""  R$  3.615,24 "",,,,31/03/2026,29/12/2028,2028,"
"CDB - C6 (XP) - Pré-Fixado - 16.15%,C6,""  R$  6.025,40 "",,,,31/03/2026,29/12/2028,2028,"
"CDB - C6 (XP) - Pré-Fixado - 16.2%,C6,""  R$  1.142,78 "",,,,12/02/2025,01/12/2029,2029,"
"LCA - DAYCOVAL - Pré-Fixado - 13.9%,DAYCOVAL,""  R$  12.500,00 "",,,,06/12/2026,06/12/2029,2029,"
"CDB - C6 (XP) - Pré-Fixado - 15.75%,C6,""  R$  16.566,38 "",,,,24/02/2026,26/12/2029,2029,"
"CDB - C6 (XP) - Pré-Fixado - 16.05%,C6,""  R$  8.601,54 "",,,,12/01/2025,31/12/2029,2029,"
"CDB - PICPAY - Pré-Fixado - 15.31%,PICPAY,""  R$  15.510,00 "",,,,12/01/2025,04/01/2030,2030,"
"CDB - DIGIMAIS (XP) - Pré-Fixado - 17%,DIGIMAIS,""  R$  4.380,36 "",,,,24/02/2026,04/01/2030,2030,"
"CDB - DIGIMAIS (XP) - Pré-Fixado - 17%,DIGIMAIS,""  R$  2.643,34 "",,,,12/02/2025,04/02/2030,2030,"
"CDB - PICPAY (XP) - Pré-Fixado - 15.33%,PICPAY,""  R$  11.396,73 "",,,,03/10/2026,04/08/2030,2030,"
"CDB - PINE (NUBANK) - Pré-Fixado - 19.03%,PINE,""  R$  1.969,15 "",,,,27/11/2024,22/04/2030,2030,"
